area_name,id,date,confirmed_cases,new_cases,movement_score,stationary_score,lag_adjusted_cases
"Accomack, Virginia, US",51001.0,09/19/2020,1166,-1,0.00119,0.14327,0
"Accomack, Virginia, US",51001.0,09/20/2020,1166,0,0.08689,0.1725,3
"Accomack, Virginia, US",51001.0,09/21/2020,1167,1,0.01552,0.14442,3
"Accomack, Virginia, US",51001.0,09/22/2020,1167,0,-0.03525,0.13699,0
"Accomack, Virginia, US",51001.0,09/23/2020,1169,2,-0.01128,0.14784,0
"Accomack, Virginia, US",51001.0,09/24/2020,1169,0,-0.04207,0.13725,0
"Accomack, Virginia, US",51001.0,09/25/2020,1172,3,-0.04088,0.1487,7
"Accomack, Virginia, US",51001.0,09/26/2020,1175,3,-0.03596,0.15084,0
"Accomack, Virginia, US",51001.0,09/27/2020,1175,0,0.10303,0.17798,1
"Accomack, Virginia, US",51001.0,09/28/2020,1175,0,-0.01669,0.16292,0
"Accomack, Virginia, US",51001.0,09/29/2020,1175,0,-0.04371,0.13703,0
"Accomack, Virginia, US",51001.0,09/30/2020,1182,7,-0.05459,0.13751,0
"Accomack, Virginia, US",51001.0,10/01/2020,1182,0,-0.04484,0.12817,0
"Accomack, Virginia, US",51001.0,10/02/2020,1183,1,0.0309,0.12815,0
"Albemarle, Virginia, US",51003.0,03/06/2020,0,0,0.00945,0.11619000000000003,0
"Albemarle, Virginia, US",51003.0,03/07/2020,0,0,0.01924,0.15041,0
"Albemarle, Virginia, US",51003.0,03/08/2020,0,0,0.07056,0.18394,0
"Albemarle, Virginia, US",51003.0,03/09/2020,0,0,0.0923,0.12627,0
"Albemarle, Virginia, US",51003.0,03/10/2020,0,0,0.0335,0.12961,0
"Albemarle, Virginia, US",51003.0,03/11/2020,0,0,0.0151,0.12793,0
"Albemarle, Virginia, US",51003.0,03/12/2020,0,0,0.0641,0.12197,0
"Albemarle, Virginia, US",51003.0,03/13/2020,0,0,-0.01099,0.12786,0
"Albemarle, Virginia, US",51003.0,03/14/2020,0,0,-0.08565,0.18799,1
"Albemarle, Virginia, US",51003.0,03/15/2020,0,0,-0.14393,0.26122,0
"Albemarle, Virginia, US",51003.0,03/16/2020,0,0,-0.12671,0.20694,0
"Albemarle, Virginia, US",51003.0,03/17/2020,0,0,-0.13944,0.19435,1
"Albemarle, Virginia, US",51003.0,03/18/2020,0,0,-0.20055,0.22921,0
"Albemarle, Virginia, US",51003.0,03/19/2020,1,1,-0.20784,0.22825,0
"Albemarle, Virginia, US",51003.0,03/20/2020,1,0,-0.25104,0.21436,2
"Albemarle, Virginia, US",51003.0,03/21/2020,1,0,-0.28626,0.27663000000000004,2
"Albemarle, Virginia, US",51003.0,03/22/2020,2,1,-0.32666,0.32715,2
"Albemarle, Virginia, US",51003.0,03/23/2020,2,0,-0.32781,0.28877,8
"Albemarle, Virginia, US",51003.0,03/24/2020,2,0,-0.2689,0.26173,1
"Albemarle, Virginia, US",51003.0,03/25/2020,4,2,-0.36922,0.29939,2
"Albemarle, Virginia, US",51003.0,03/26/2020,6,2,-0.27856,0.25192,2
"Albemarle, Virginia, US",51003.0,03/27/2020,8,2,-0.27813000000000004,0.25115,0
"Albemarle, Virginia, US",51003.0,03/28/2020,16,8,-0.2979,0.27556,2
"Albemarle, Virginia, US",51003.0,03/29/2020,17,1,-0.29799000000000003,0.31106,3
"Albemarle, Virginia, US",51003.0,03/30/2020,19,2,-0.26613000000000003,0.25437,1
"Albemarle, Virginia, US",51003.0,03/31/2020,21,2,-0.30943000000000004,0.28827,5
"Albemarle, Virginia, US",51003.0,04/01/2020,21,0,-0.32066,0.26763000000000003,2
"Albemarle, Virginia, US",51003.0,04/02/2020,23,2,-0.30416,0.26538,4
"Albemarle, Virginia, US",51003.0,04/03/2020,26,3,-0.31943,0.25053000000000003,3
"Albemarle, Virginia, US",51003.0,04/04/2020,27,1,-0.32598,0.29007,2
"Albemarle, Virginia, US",51003.0,04/05/2020,32,5,-0.33471,0.32089,0
"Albemarle, Virginia, US",51003.0,04/06/2020,34,2,-0.31063,0.28079,3
"Albemarle, Virginia, US",51003.0,04/07/2020,38,4,-0.2802,0.26525,0
"Albemarle, Virginia, US",51003.0,04/08/2020,41,3,-0.30951,0.27051,3
"Albemarle, Virginia, US",51003.0,04/09/2020,43,2,-0.28407,0.26585,1
"Albemarle, Virginia, US",51003.0,04/10/2020,43,0,-0.33323,0.26379,3
"Albemarle, Virginia, US",51003.0,04/11/2020,46,3,-0.28872,0.28012,1
"Albemarle, Virginia, US",51003.0,04/12/2020,46,0,-0.386,0.3365,2
"Albemarle, Virginia, US",51003.0,04/13/2020,49,3,-0.34808,0.30963,0
"Albemarle, Virginia, US",51003.0,04/14/2020,50,1,-0.27663000000000004,0.27774,1
"Albemarle, Virginia, US",51003.0,04/15/2020,53,3,-0.28154,0.26475,4
"Albemarle, Virginia, US",51003.0,04/16/2020,54,1,-0.24098000000000006,0.25066,5
"Albemarle, Virginia, US",51003.0,04/17/2020,56,2,-0.29778000000000004,0.25308,2
"Albemarle, Virginia, US",51003.0,04/18/2020,56,0,-0.31709,0.28173000000000004,3
"Albemarle, Virginia, US",51003.0,04/19/2020,57,1,-0.30203,0.31511,1
"Albemarle, Virginia, US",51003.0,04/20/2020,61,4,-0.30392,0.28101,1
"Albemarle, Virginia, US",51003.0,04/21/2020,66,5,-0.24884,0.26699,3
"Albemarle, Virginia, US",51003.0,04/22/2020,68,2,-0.24899,0.24246,1
"Albemarle, Virginia, US",51003.0,04/23/2020,71,3,-0.3009,0.28898,3
"Albemarle, Virginia, US",51003.0,04/24/2020,72,1,-0.32115,0.26477,1
"Albemarle, Virginia, US",51003.0,04/25/2020,73,1,-0.29519,0.29372,22
"Albemarle, Virginia, US",51003.0,04/26/2020,76,3,-0.32395,0.34451,0
"Albemarle, Virginia, US",51003.0,04/27/2020,77,1,-0.25938,0.27161,2
"Albemarle, Virginia, US",51003.0,04/28/2020,80,3,-0.21434,0.25664000000000003,3
"Albemarle, Virginia, US",51003.0,04/29/2020,81,1,-0.20666,0.2441,2
